AccX_processed,AccY_processed,AccZ_processed,GyrX_kalman,GyrY_kalman,GyrZ_kalman,MagX_processed,MagY_processed,MagZ_processed,PacketCounter,Roll,Pitch,Yaw
-0.4334829538307445,0.0827616960129992,0.5376955513660523,0.0004756339009674,-0.0003698669117941,0.0008653431310062,1.0570348318766468e-07,5.904509442947323e-07,1.7581981827893337e-07,11582,0.276586,-1.50011,1.235359
-1.2712010490564374,0.2444265983952283,1.5816817056503902,0.000540621661409,-0.0003343167186017,0.0009670690391255,1.3006855190105513e-07,4.890554123020477e-07,2.980480459867003e-07,11583,0.276899,-1.507826,1.278907
-1.6644967137846272,0.3204127471971817,2.073855737444596,0.0006153090892561,-0.0002586036779246,0.0010768296095256,1.4369094469601758e-07,4.1169822539082834e-07,3.81031176108561e-07,11584,0.273643,-1.508303,1.252412
-1.199473053619478,0.2314026002413867,1.5003484475134636,0.0006900464142952,-0.0001803306879569,0.0011858921182769,1.46570661572552e-07,3.583793835610747e-07,4.247692086445153e-07,11585,0.266849,-1.504542,1.201946
-1.2131685595079298,0.2343226709618079,1.522398204632105,0.0007595361403,-0.0001169670863101,0.0012886245811225,1.3870770253065836e-07,3.290988868127863e-07,4.292621435945629e-07,11586,0.271692,-1.509447,1.26835
-1.1307353016183397,0.2188640990437571,1.4255029172221425,0.0008218958125586,-7.41876413175319e-05,0.0013823472488094,1.340581055899367e-07,1.340393394315251e-07,4.3769991838069756e-07,11587,0.269392,-1.510443,1.248769
-0.9621353435211292,0.1847352468990719,1.2206799792302951,0.0008746797935879,-5.0268379140418666e-05,0.001463057960541,8.791349412629991e-08,1.7481805221397942e-07,3.155392048688496e-07,11588,0.266606,-1.51599,1.285625
-0.9081489582965936,0.1714376577106324,1.1580769877910375,0.0009157067738391,-2.9547250699829582e-05,0.0015256754224102,-2.5191499730435293e-08,3.994816783666022e-07,2.2469728274642282e-08,11589,0.265207,-1.519625,1.294787
-0.7823245684942934,0.1450594395174954,0.9987996515717378,0.0009439057582364,-5.741969693121656e-06,0.0015677442202815,-1.587854214225427e-07,6.711580292535513e-07,-2.969867694650289e-07,11590,0.256857,-1.519228,1.279567
-0.6671247021928335,0.1235631518789137,0.8582443691271272,0.0009588472116534,1.8370149012217064e-05,0.0015888842107402,-2.363191303271155e-07,9.096004328151854e-07,-4.690517280745757e-07,11591,0.256216,-1.523059,1.288433
-0.5651224884054549,0.1064010168681166,0.7404255546663746,0.0009614053248332,4.7199260049459065e-05,0.0015898935145036,-2.1615272510555626e-07,1.037998027636078e-06,-4.369871069140638e-07,11592,0.241845,-1.514144,1.257597
-0.4796372915911016,0.0859724874338516,0.5689121946464168,0.0009540597529545,8.76162715673146e-05,0.0015737783001752,-9.923511295879001e-08,1.0491462198672117e-06,-2.239117562228194e-07,11593,0.216414,-1.329221,1.235453
-0.4690741731781288,0.0762217869596161,0.3898676564044284,0.0009377174101007,0.0001425951097196,0.001541593491508,1.1599691618553998e-07,9.779575779267885e-07,1.9864265790384785e-07,11594,0.326195,-0.962297,1.180792
-0.4184707985803714,0.0706574265495285,0.1924988080681716,0.0009117540725874,0.000212462575692,0.0014923758121268,4.336775612158162e-07,7.5433015798443e-07,8.668765672050757e-07,11595,0.488288,-0.688449,1.090455
-0.2930451184708011,0.0645364666217033,0.0223812490038723,0.0008758291241923,0.0002945944170876,0.0014260375150055,8.027387072346708e-07,3.150812741602471e-07,1.6671365874950708e-06,11596,0.640611,-0.48567,1.057289
-0.1522042611698001,0.0556565936719505,-0.1173001786318127,0.0008290647287088,0.0003814460283386,0.0013423586703046,1.1080768645822347e-06,-1.9444896838900828e-07,2.3600489107277386e-06,11597,0.798536,-0.326049,1.029454
-0.020755956806769,0.0410288387674205,-0.2564513778639127,0.0007721326209978,0.0004686991082416,0.001243338162164,1.2638952301602003e-06,-5.407811142505711e-07,2.773598464835955e-06,11598,0.970669,-0.180606,1.008127
0.106545014784406,0.0211714072229165,-0.3862724231627791,0.0007076211235987,0.000554721863875,0.0011338995879002,1.291356249588172e-06,-7.114538504076387e-07,2.9344594258689763e-06,11599,1.138219,-0.052182,1.045869
0.2339497016230214,-0.0027384981946587,-0.5144939543372911,0.0006386349441314,0.0006344300817206,0.001020523139604,1.2703087528868642e-06,-8.616301862506134e-07,2.989075171669602e-06,11600,1.277575,0.061385,1.127467
0.3529135037918471,-0.0279134212957547,-0.6495286751126206,0.0005696801784322,0.0007005223799073,0.0009126109473182,1.2601412684318689e-06,-1.0114883190455378e-06,3.0448197730512647e-06,11601,1.381754,0.144944,1.189619
0.4579550422568993,-0.0533567461930484,-0.7819022032291112,0.0005030968629906,0.0007493138152043,0.000815017839018,1.2756379632274812e-06,-1.0573345627923742e-06,3.111684841635788e-06,11602,1.434976,0.206474,1.201335
0.5621636453526238,-0.0790920956185077,-0.9036493039189598,0.0004387551116959,0.0007803549081528,0.0007275813138233,1.2875389491117932e-06,-9.470033048603836e-07,3.109122324737469e-06,11603,1.388335,0.250222,1.198333
0.6877956812960393,-0.1034477748663612,-1.01666702976806,0.0003763983159469,0.0007944476351786,0.0006496870693689,1.2650545626180877e-06,-7.004753219705954e-07,2.973363368840533e-06,11604,1.191693,0.283276,1.183988
0.8244339938050612,-0.1238088985373772,-1.1200982893852762,0.0003144516640666,0.0007954418028999,0.0005778063875736,1.2200357560438448e-06,-3.667184132470565e-07,2.7653712336175797e-06,11605,0.916733,0.255358,1.096634
0.9402253703038758,-0.1404259015302761,-1.2092588332273886,0.0002519111708705,0.0007850316506353,0.0005098165970607,1.1652968791056552e-06,-2.265071867510608e-08,2.544852275724955e-06,11606,0.713891,0.13702,1.057313
1.0288823089901908,-0.1574654922656341,-1.2909551587524934,0.0001884257478557,0.0007627839094594,0.0004451426786243,1.0876790761175458e-06,2.251330836004393e-07,2.2903031341253342e-06,11607,0.627031,-0.047149,0.999399
1.1057923915107213,-0.176382826362275,-1.3759527027151737,0.000122206664886,0.0007303885887722,0.0003802425036961,1.0042630574155669e-06,3.048449022185826e-07,2.051725089309265e-06,11608,0.618513,-0.226895,0.993192
1.179527379707095,-0.1973543322557508,-1.459667578052688,5.026207696457355e-05,0.0006906994401548,0.0003091971701976,9.560375177452233e-07,2.2114484467293867e-07,1.936367643583749e-06,11609,0.678254,-0.307037,1.035153
1.2498267141913155,-0.221032223295057,-1.5347337615133827,-2.838409465995344e-05,0.0006451694204054,0.0002297242177454,9.245888192583516e-07,6.042631564487786e-08,1.8984857163579652e-06,11610,0.787761,-0.291601,1.138663
1.3166899635899434,-0.2393314161659464,-1.6007439381904225,-0.0001127605134364,0.0005942580066544,0.0001429329296339,8.33580426345076e-07,7.1611069546102355e-09,1.7474583723005611e-06,11611,0.881187,-0.272039,1.226319
1.3838243744478769,-0.24520258313277,-1.6579828430657766,-0.0002012788009648,0.0005380989973575,5.0865256244329176e-05,6.654322241887399e-07,1.5088889987893398e-07,1.4346085974022525e-06,11612,0.956432,-0.246012,1.314338
1.4474280251957032,-0.2482361080085088,-1.7070606500363754,-0.0002906982862611,0.0004758753545957,-4.167617093554476e-05,5.056700765109513e-07,2.9098927146874093e-07,1.1518377225600438e-06,11613,1.026131,-0.228359,1.374409
1.494940694549481,-0.2587203417530239,-1.7484758895355532,-0.0003783951092959,0.0004086052758452,-0.0001316887170511,4.138804634093452e-07,2.1070130594933687e-07,1.0198401343213822e-06,11614,1.098722,-0.23327,1.444405
1.5283322054244302,-0.2680319920503737,-1.7810735362950858,-0.0004622663127399,0.0003393616482802,-0.0002179844826764,3.717114879063346e-07,-3.345459619348929e-08,9.782195322406204e-07,11615,1.17799,-0.229933,1.532256
1.5573162504553164,-0.2627994928847197,-1.8050853405976703,-0.0005385032212885,0.0002716471851097,-0.0002972279021327,3.730022051088291e-07,-2.7626738413794944e-07,1.012194376294574e-06,11616,1.259841,-0.21404,1.580336
1.5772178408735489,-0.2472594959842634,-1.8235770321608011,-0.0006017856583831,0.0002103886218964,-0.0003647266893744,4.174119133826836e-07,-4.505087709046312e-07,1.129364496930462e-06,11617,1.355617,-0.195301,1.675788
1.5854067865922783,-0.2358281180060833,-1.8373352603651592,-0.0006491579426546,0.0001583825964195,-0.0004179004065257,4.805576766539561e-07,-5.675026307454196e-07,1.2614862249578567e-06,11618,1.428582,-0.176241,1.804699
1.5903372833643454,-0.2315083896432708,-1.8415926920340389,-0.0006799566368605,0.0001159890091759,-0.0004560045363334,5.317550195512272e-07,-6.163987954080017e-07,1.3287002633717046e-06,11619,1.505274,-0.161057,1.880431
1.5897573205219968,-0.2275331000286451,-1.833465281099208,-0.0006940875786398,8.354335672181006e-05,-0.0004790167956647,5.039444830568533e-07,-5.757850291087932e-07,1.2211480012162204e-06,11620,1.582608,-0.147701,1.964898
1.5766602618330352,-0.2237541857841425,-1.8203490184479063,-0.0006932372501555,6.019403598176935e-05,-0.0004886749439558,3.236957822549883e-07,-4.95789713290846e-07,8.202660906369625e-07,11621,1.645527,-0.11263,2.025699
1.558175424711619,-0.2237143238550672,-1.8082552360069504,-0.0006780251753998,4.567714570649283e-05,-0.00048546761123,3.941561044368873e-09,-3.849977222759526e-07,1.420773682752477e-07,11622,1.69484,-0.075305,2.073952
1.5399889160168894,-0.2268510189544623,-1.7912160268062645,-0.0006479968589593,4.043944058175958e-05,-0.0004686561301142,-3.508867836150555e-07,-1.5978895260299046e-07,-6.119064686689247e-07,11623,1.753431,-0.05187,2.163924
1.5179500738676306,-0.2300986312557478,-1.7642719600590653,-0.0006041891360049,4.36738599592372e-05,-0.0004387249161385,-6.347659240929579e-07,1.5958044103359633e-07,-1.2130716697310508e-06,11624,1.809548,-0.042935,2.235358
1.4903849340000277,-0.2274310987829901,-1.7299321047388967,-0.0005486726162718,5.35843230584209e-05,-0.0003968285926275,-8.201920766679275e-07,4.289705490354528e-07,-1.6129551590569733e-06,11625,1.85458,-0.026938,2.257717
1.454106505461879,-0.2188733428027975,-1.6897791481735858,-0.0004823131047988,7.06841879741509e-05,-0.0003434355340345,-9.380866964063476e-07,5.433532659007718e-07,-1.9068083637162848e-06,11626,1.883025,0.005114,2.281604
1.4117510478383006,-0.2134804894216591,-1.6427791696358274,-0.0004050161249571,9.784547201847535e-05,-0.0002785876480337,-1.0290926064182853e-06,5.142861867600934e-07,-2.1835542971228785e-06,11627,1.870948,0.040565,2.248711
1.371002943589152,-0.2126364303144624,-1.590078361746765,-0.0003165743426152,0.000139100136563,-0.000202256318679,-1.1527250821885753e-06,4.287244569736849e-07,-2.52594631974325e-06,11628,1.85164,0.081998,2.246938
1.3141643375291108,-0.2098018569251795,-1.5399257601103296,-0.0002161127166831,0.0002008814388111,-0.0001140563201057,-1.3591707365215705e-06,3.625271355478167e-07,-3.002001289735727e-06,11629,1.879227,0.220255,2.260783
1.2282997622323597,-0.205133220039549,-1.4995638803946467,-0.0001042245604805,0.0002900626452988,-1.484326171103474e-05,-1.618926906341713e-06,3.955586086439558e-07,-3.5705842178048003e-06,11630,1.960583,0.436779,2.2605
1.143575417422844,-0.2019298878876047,-1.4603822601391945,1.6797056363477506e-05,0.0004144370428956,9.308544586380353e-05,-1.8651715095422733e-06,5.881470091238941e-07,-4.126240465359392e-06,11631,2.016576,0.625993,2.257169
1.0784492178330105,-0.1988913891329996,-1.4076503233364566,0.0001442284444817,0.0005854612585394,0.0002067592406364,-2.085174881226976e-06,8.339310786614765e-07,-4.635640084554377e-06,11632,2.053305,0.767502,2.237492
1.013460637681331,-0.195048961687549,-1.3404664464271456,0.000274099361088,0.0008187921877747,0.0003218280538809,-2.299937025326064e-06,9.575732555616915e-07,-5.135675367033427e-06,11633,2.08764,0.864045,2.256389
0.9484030435030532,-0.1902679518179308,-1.2662901896548386,0.0004043132946892,0.0011243694933361,0.0004360427861534,-2.518883975156025e-06,9.876537299208437e-07,-5.666600511321363e-06,11634,2.111269,0.927874,2.28189
0.9061773443312682,-0.1843930654632977,-1.188170057734372,0.0005349025938222,0.0015064222337037,0.0005494749620722,-2.755873671080744e-06,1.0949634981688709e-06,-6.270691576353709e-06,11635,2.119442,0.962947,2.320441
0.8851503477903044,-0.1791398576267562,-1.1090869784807995,0.0006659461993512,0.0019688019983293,0.0006623457344184,-3.0468408508559145e-06,1.3437801078285449e-06,-7.014247500473284e-06,11636,2.115004,0.969304,2.335092
0.8661950398372759,-0.1742557703487299,-1.0313333816822443,0.0007985903832335,0.0025120586320162,0.0007761577363042,-3.4288806818793947e-06,1.702683926538775e-06,-7.962673243621994e-06,11637,2.036555,0.948031,2.347552
0.835416992602279,-0.168020030025159,-0.9501638625530484,0.0009334304412656,0.0031404935112343,0.0008917678090662,-3.901524872891809e-06,2.1608167604914523e-06,-9.11356062843287e-06,11638,1.919913,0.917932,2.330375
0.7868156154744883,-0.1625665741147171,-0.8643459759813616,0.0010704054133054,0.0038627556044577,0.0010093007287148,-4.434577392984024e-06,2.687414167323068e-06,-1.0398882316261932e-05,11639,1.791636,0.886243,2.280675
0.7276507472206127,-0.1621010773178254,-0.7834952006146993,0.0012105507858941,0.0046861670579342,0.0011301752345276,-4.989883191216278e-06,3.186783058164561e-06,-1.1723902642652584e-05,11640,1.672485,0.88109,2.244371
0.6661822139293723,-0.15790980509437,-0.7100869965267343,0.0013557491752915,0.0056186893747195,0.0012568228978179,-5.507004130883174e-06,3.604437966665552e-06,-1.2960946856311593e-05,11641,1.577967,0.929799,2.177831
0.6056891296052644,-0.1441555585961131,-0.6291485123040268,0.0015057854211965,0.0066605535999507,0.0013897241048997,-5.907736673687448e-06,3.951194301805854e-06,-1.3953645504856042e-05,11642,1.544017,1.054719,2.1124
0.5494674556922379,-0.1490714058619414,-0.5304806153187569,0.0016582874940551,0.0078022155456341,0.0015274420877805,-6.108473159426949e-06,4.102940494868358e-06,-1.4507987127329987e-05,11643,1.593787,1.302082,2.037204
0.4736925855143957,-0.1778452677488622,-0.4327758063251068,0.001809767566939,0.0090282053170813,0.0016677465761685,-6.065823529257197e-06,3.873979455916263e-06,-1.449830508072972e-05,11644,1.794395,1.858647,1.91096
0.3346130003143986,-0.1937223470881705,-0.3583023313035807,0.0019544875532448,0.0103123789719097,0.0018065934035588,-5.8338587007513215e-06,3.4193724812746456e-06,-1.404500419581459e-05,11645,2.17261,2.864012,1.798508
0.1626135039173195,-0.1922348676946946,-0.3068345006072642,0.0020861693392086,0.0116183945092819,0.0019401191116887,-5.469204113408522e-06,3.126826291040052e-06,-1.3317047706010191e-05,11646,2.548192,3.822234,1.76745
0.0314077474703217,-0.1759600676326405,-0.2960333652314726,0.0021975111018108,0.0128958234462558,0.0020644019146344,-4.939976513852489e-06,3.0790241356314805e-06,-1.2248104123669e-05,11647,3.019035,4.716721,1.636365
-0.1122218570880076,-0.131911962296877,-0.3259063770045353,0.0022776662303577,0.014070301616019,0.0021732144244425,-4.203209064831921e-06,3.024074984654335e-06,-1.0671602413203114e-05,11648,3.344735,6.005118,1.536864
-0.3622580803055784,-0.0489459453673461,-0.3809864791843659,0.0023116615974634,0.0150361733517078,0.0022579307915704,-3.2683985291832416e-06,2.750626283226001e-06,-8.56241662586153e-06,11649,3.735077,8.017412,1.391097
-0.6512192118083898,0.1103431690140468,-0.5169562238186519,0.0022912672561665,0.0157368586462209,0.0023136924339737,-2.2061409838437126e-06,2.179926527087766e-06,-6.095612453873968e-06,11650,4.503299,10.444363,1.429775
-0.8464958489979465,0.3244288254032053,-0.7373088762752902,0.0022152371006168,0.0161672399532109,0.0023394338064506,-1.1091523777606172e-06,1.2273016966334408e-06,-3.474942607046368e-06,11651,5.608746,12.882031,1.750598
-0.9153472163517242,0.4736097594125237,-1.0861153606482108,0.00208375279471,0.0163300179084937,0.0023348620037804,-4.66047987488129e-08,-8.992874513451284e-08,-8.314015147013064e-07,11652,6.893553,15.092391,2.124451
-0.9555124252408502,0.5078003220976823,-1.72833334486185,0.0019019845007783,0.0162616616612565,0.0023024168134806,8.863437531416475e-07,-1.4046854128572548e-06,1.572089805732375e-06,11653,7.907774,17.204547,2.512434
-1.0920227977520884,0.4896038622421028,-2.4275796213641856,0.0016730872678531,0.0159818025511075,0.002243035496241,1.6085035215092577e-06,-2.246888826094914e-06,3.443517914661728e-06,11654,8.424171,19.398363,3.197781
-1.248942755982802,0.4590960441855429,-2.6732364311071795,0.00139828699197,0.015492520412637,0.0021561255656298,2.1449688103634813e-06,-2.5572035624862654e-06,4.798582496929241e-06,11655,8.647856,21.715732,4.186349
-1.2731203859887228,0.4259925624357182,-2.4768686681632506,0.0010839933340019,0.0148286360025545,0.0020435537420373,2.5749853109368e-06,-2.652475923912376e-06,5.874136642762422e-06,11656,8.818255,23.863252,5.078839
