AccX_processed,AccY_processed,AccZ_processed,GyrX_kalman,GyrY_kalman,GyrZ_kalman,MagX_processed,MagY_processed,MagZ_processed,PacketCounter,Roll,Pitch,Yaw
-0.348754400757921,-0.2317436820334485,0.6630544860794961,-0.0027836494180254,-0.0030775764853271,0.0011594090052434,-6.312346313823677e-08,7.982370968584366e-07,2.266989278585537e-07,11582,4.02732,-4.54409,-0.026904
-1.0247106879154892,-0.6877068390631738,1.950231838460891,-0.0028665278907834,-0.0026984460748714,0.0009153075042648,-1.4885895766804808e-07,8.854423144363236e-07,1.7220590014028373e-07,11583,4.032919,-4.561521,0.046556
-1.3425763123481524,-0.9032486131402426,2.5567311314972527,-0.002814792079251,-0.0018872847434426,0.0005416464191453,-1.8679015984026498e-07,9.289799219252518e-07,1.5497742544912808e-07,11584,4.038273,-4.573895,0.038976
-0.9691253506687344,-0.6568079356648772,1.8487932974255152,-0.0026873983807197,-0.0008818398924726,0.0003277602087139,-1.7691706965488769e-07,9.28849919325221e-07,1.750135037850868e-07,11585,4.041827,-4.579933,-0.037684
-0.981422867068813,-0.6645200002312996,1.8753813477475567,-0.0025186324044017,0.0001672926956003,0.0004214088069382,-1.192396871119162e-07,8.850523066362304e-07,2.3231413514815955e-07,11586,4.044995,-4.59683,0.044045
-0.9163581399647164,-0.6197842068110517,1.7554774119945238,-0.0023287177018101,0.0011423124313745,0.0008044368622298,8.028956500499725e-08,6.236295324382159e-07,3.709856176947267e-07,11587,4.050381,-4.607523,0.012131
-0.7813128984941593,-0.5291230944801529,1.501429889239516,-0.0021334213424687,0.0019543866624798,0.0014151436118545,2.284515732805069e-07,5.073163451459193e-07,4.980062422993067e-07,11588,4.053772,-4.622266,0.045822
-0.7382179213653245,-0.5008474194662912,1.422160786896586,-0.001942048885425,0.0025438802175935,0.0020652179079451,2.2963612643606557e-07,5.186874429087861e-07,4.944901052217132e-07,11589,4.060966,-4.639893,0.075288
-0.63420954823668,-0.4320662383832383,1.2267751722609657,-0.0017616785318493,0.0028768809972158,0.0026643757386874,1.042496161921211e-07,5.847799828211416e-07,3.666407708351084e-07,11590,4.064036,-4.641508,0.018509
-0.5434483310922729,-0.3711957729307863,1.0546626015736,-0.0015986253746958,0.0029476872817451,0.0032256005909759,-7.889895504830554e-08,7.160512815474253e-07,2.0039060582128866e-07,11591,4.070329,-4.653759,0.020515
-0.4666835480340041,-0.3186889547304473,0.906618225335396,-0.0014542614355652,0.0027893400176896,0.0036840707517809,-2.484492734322628e-07,8.807575926707273e-07,5.7334646905899914e-08,11592,4.073403,-4.666233,0.005283
-0.3661670835750332,-0.2493281042624502,0.7066912427237682,-0.001325851708068,0.0024825403884314,0.0039448564626489,-3.976331095228637e-07,1.06384964490551e-06,-6.336178484679356e-08,11593,4.022506,-4.675351,0.07291
-0.2810004892297822,-0.1935967414329928,0.5318203525982916,-0.0012131384560618,0.0020611767201207,0.0039650272051929,-5.018349376580586e-07,1.25472262502601e-06,-1.2612321738383964e-07,11594,3.941783,-4.655016,0.121097
-0.1858150141326867,-0.1367852080831929,0.3449329821521422,-0.0011181039406446,0.0015117472055012,0.0037391458045013,-4.028852796440344e-07,1.2686969320305443e-06,-9.07662685477131e-09,11595,3.863259,-4.597872,0.099623
-0.0883058859027929,-0.0751563073181264,0.1630005078414263,-0.0010422258816859,0.0008289959886296,0.0032947434714173,-1.9419084276337978e-08,9.367989369967738e-07,3.1248582070177055e-07,11596,3.799375,-4.574489,0.094805
0.0054685955665713,-0.0167973619135242,-0.0092346808886903,-0.0009881590755608,-9.53803589770442e-06,0.0027170461005216,3.7532220571703044e-07,4.710524047120371e-07,5.96025669397356e-07,11597,3.749921,-4.590323,0.085872
0.1007200820707747,0.0243005710419427,-0.1888093812938787,-0.000954285955795,-0.0009801111017609,0.0020570328912326,4.305269921678323e-07,2.659628249380843e-07,5.842314841905546e-07,11598,3.716162,-4.633398,0.034924
0.1915420441794789,0.0531968646526371,-0.3605381793306445,-0.0009340055268192,-0.0020020423781109,0.0013371379225032,1.9214951838392839e-07,3.414733649272185e-07,3.3679638157619384e-07,11599,3.703682,-4.693462,0.014893
0.2890647638467566,0.1014812004629079,-0.5302880453032106,-0.0009190405294826,-0.002981492450992,0.000623035656284,-7.757743511216734e-08,4.293252988009396e-07,5.55492785946976e-08,11600,3.714203,-4.745443,-0.020577
0.3935148833174277,0.1702018492218913,-0.699132685322865,-0.0008971709589979,-0.0037853638372451,1.051771096262778e-05,-3.126936262241155e-07,4.777558836144164e-07,-1.9972982282878626e-07,11601,3.743857,-4.803264,-0.026137
0.4888644555842378,0.2361905959190398,-0.8534884292124887,-0.0008621767701963,-0.0043425185556966,-0.0004525987235729,-5.398255437167082e-07,5.727734625069345e-07,-4.246376347595879e-07,11602,3.794003,-4.865515,-0.049901
0.5703101062838012,0.2940689258246157,-0.989511118438966,-0.000814632986304,-0.0046530900776475,-0.0007623927881213,-6.675308557285483e-07,6.18604713976661e-07,-5.517649756216702e-07,11603,3.854969,-4.936729,-0.024629
0.6463164532923189,0.3595088223240695,-1.1212175885364184,-0.0007555627894168,-0.0047216260351407,-0.0009300438388326,-6.325322213500605e-07,5.06876106568948e-07,-5.523895702282138e-07,11604,3.940338,-4.994834,0.04431
0.7216047958770946,0.4431737702722562,-1.2613273506331315,-0.0006897569951907,-0.0045914109969064,-0.0010059450708519,-5.27758966811315e-07,3.427382948120313e-07,-4.911137685116045e-07,11605,4.028985,-5.019103,0.070628
0.7919749186974444,0.5298184558306819,-1.4024755251003989,-0.0006205451378643,-0.0042924153492206,-0.0010133777740785,-4.187413787191534e-07,2.1514101155067017e-07,-4.07497276338349e-07,11606,4.109562,-5.003357,0.075396
0.8524763750355799,0.5972089774823417,-1.5316693338899154,-0.0005496429835122,-0.0038397877732405,-0.0009486672982134,-2.522877810898371e-07,2.584669498020047e-08,-2.821238612601284e-07,11607,4.169144,-4.966618,0.094146
0.9053994022834322,0.648527099527132,-1.650657330829541,-0.0004830256438369,-0.0032940167568952,-0.0008365334652885,-4.2634214234507615e-08,-2.553336530604389e-07,-1.4471156257648933e-07,11608,4.196882,-4.894446,0.203618
0.956456347865414,0.6954518694799297,-1.7652119100079335,-0.0004303806450799,-0.0027561771167517,-0.000718081920303,1.0056121104723784e-07,-5.042922972038671e-07,-7.017352868964566e-08,11609,4.199232,-4.79387,0.296995
1.006623813657081,0.7330585435233866,-1.8745296046914868,-0.0003964670676846,-0.0022702062910593,-0.0006083679795127,1.0084415642307552e-07,-6.398014626230023e-07,-1.1634998606504933e-07,11610,4.192371,-4.686101,0.39954
1.050798225495377,0.7591203697718744,-1.97222760634202,-0.0003815279027014,-0.0018262949169958,-0.0005003943208766,-1.44157873198565e-07,-5.835874494256514e-07,-3.811081063376195e-07,11611,4.20158,-4.619466,0.516128
1.08606200369669,0.7832494208772502,-2.054331438058478,-0.000385210875493,-0.0014053826080115,-0.0003770743671678,-6.893934179258268e-07,-2.73907501074011e-07,-9.078568621851808e-07,11612,4.232568,-4.593316,0.626377
